lambda_1,lambda_2,x_min_mode,x_max_mode,step_mode,count_all,count_ft,fraction_all,cumulative_fraction_all,fraction_ft,mode_id
1.20793,1.20839,15,30,0.015004,8,0,9.041182586682339e-05,0.9735997468468867,0.0,210
1.20793,1.20839,18,42,0.015004,8,0,9.041182586682339e-05,0.9736901586727534,0.0,211
1.20793,1.20839,25,47,0.015004,8,0,9.041182586682339e-05,0.9737805704986202,0.0,212
1.5406,1.54439,4,65,0.020458,8,0,9.041182586682339e-05,0.973870982324487,0.0,213
1.5406,1.54439,10,70,0.018415,8,0,9.041182586682339e-05,0.9739613941503538,0.0,214
1.5406,1.54439,10,80,0.014323,8,0,9.041182586682339e-05,0.9740518059762205,0.0,215
1.5406,1.54439,12,60,0.204545,8,0,9.041182586682339e-05,0.9741422178020873,0.0,216
1.5406,1.54439,15,85,0.020458,8,0,9.041182586682339e-05,0.9742326296279541,0.0,217
1.5406,1.54439,20,41,0.020458,8,0,9.041182586682339e-05,0.9743230414538209,0.0,218
1.5406,1.54439,25,81,0.019438,8,0,9.041182586682339e-05,0.9744134532796876,0.0,219
1.5406,1.54439,30,82,0.019438,8,0,9.041182586682339e-05,0.9745038651055544,0.0,220
1.5406,1.54439,35,70,0.019438,8,0,9.041182586682339e-05,0.9745942769314212,0.0,221
,,10,70,0.019438,8,0,9.041182586682339e-05,0.974684688757288,0.0,222
1.20793,1.20839,10,15,0.004,7,0,7.911034763347045e-05,0.9747637991049214,0.0,223
1.20793,1.20839,10,55,0.015004,7,0,7.911034763347045e-05,0.9748429094525548,0.0,224
1.20793,1.20839,15,70,0.015004,7,0,7.911034763347045e-05,0.9749220198001882,0.0,225
1.20793,1.20839,18,32,0.015004,7,0,7.911034763347045e-05,0.9750011301478216,0.0,226
1.20793,1.20839,20,35,0.015004,7,0,7.911034763347045e-05,0.975080240495455,0.0,227
1.20793,1.20839,30,40,0.015004,7,0,7.911034763347045e-05,0.9751593508430885,0.0,228
1.5406,1.54439,3,50,0.020458,7,0,7.911034763347045e-05,0.9752384611907219,0.0,229
1.5406,1.54439,5,60,0.010231,7,5,7.911034763347045e-05,0.9753175715383553,0.0023629489603024575,230
1.5406,1.54439,5,80,0.022507,7,0,7.911034763347045e-05,0.9753966818859887,0.0,231
1.5406,1.54439,5,87,0.010231,7,0,7.911034763347045e-05,0.9754757922336221,0.0,232
1.5406,1.54439,5,140,0.010231,7,0,7.911034763347045e-05,0.9755549025812555,0.0,233
1.5406,1.54439,8,65,0.020458,7,0,7.911034763347045e-05,0.975634012928889,0.0,234
1.5406,1.54439,8,90,0.020458,7,0,7.911034763347045e-05,0.9757131232765224,0.0,235
1.5406,1.54439,10,70,0.040923,7,0,7.911034763347045e-05,0.9757922336241558,0.0,236
1.5406,1.54439,10,81,0.02,7,0,7.911034763347045e-05,0.9758713439717892,0.0,237
1.5406,1.54439,10,90,0.029669,7,0,7.911034763347045e-05,0.9759504543194226,0.0,238
1.5406,1.54439,10,100,0.05,7,0,7.911034763347045e-05,0.976029564667056,0.0,239
1.5406,1.54439,15,100,0.020458,7,0,7.911034763347045e-05,0.9761086750146895,0.0,240
1.5406,1.54439,20,50,0.010231,7,0,7.911034763347045e-05,0.9761877853623229,0.0,241
1.5406,1.54439,20,90,0.022507,7,0,7.911034763347045e-05,0.9762668957099563,0.0,242
1.5406,1.54439,25,90,0.019438,7,0,7.911034763347045e-05,0.9763460060575897,0.0,243
1.5406,1.54439,42,47,0.003,7,0,7.911034763347045e-05,0.9764251164052231,0.0,244
0.35364,,1,28,0.01,6,6,6.780886940011753e-05,0.9764929252746233,0.002835538752362949,245
0.41383,,1,28,0.01,6,6,6.780886940011753e-05,0.9765607341440234,0.002835538752362949,246
0.49527,,2,70,0.006,6,6,6.780886940011753e-05,0.9766285430134236,0.002835538752362949,247
1.20793,1.20839,2,22,0.015004,6,0,6.780886940011753e-05,0.9766963518828238,0.0,248
1.20793,1.20839,2,51,0.015004,6,0,6.780886940011753e-05,0.9767641607522239,0.0,249
1.20793,1.20839,5,70,0.015004,6,0,6.780886940011753e-05,0.9768319696216241,0.0,250
1.20793,1.20839,5,80,0.015004,6,0,6.780886940011753e-05,0.9768997784910243,0.0,251
1.20793,1.20839,10,73,0.050918,6,0,6.780886940011753e-05,0.9769675873604244,0.0,252
1.5406,1.54439,5,50,0.011254,6,0,6.780886940011753e-05,0.9770353962298246,0.0,253
1.5406,1.54439,5,70,0.007,6,0,6.780886940011753e-05,0.9771032050992248,0.0,254
1.5406,1.54439,10,70,0.05,6,0,6.780886940011753e-05,0.9771710139686249,0.0,255
1.5406,1.54439,10,71,0.020458,6,0,6.780886940011753e-05,0.9772388228380251,0.0,256
1.5406,1.54439,10,89,0.022507,6,0,6.780886940011753e-05,0.9773066317074253,0.0,257
1.5406,1.54439,10,89,0.104318,6,0,6.780886940011753e-05,0.9773744405768254,0.0,258
1.5406,1.54439,15,75,0.020458,6,0,6.780886940011753e-05,0.9774422494462256,0.0,259
1.5406,1.54439,20,60,0.010231,6,0,6.780886940011753e-05,0.9775100583156258,0.0,260
1.5406,1.54439,20,70,0.023531,6,0,6.780886940011753e-05,0.9775778671850259,0.0,261
1.5406,1.54439,35,85,0.005,6,0,6.780886940011753e-05,0.9776456760544261,0.0,262
1.5406,1.54439,38,39,0.020458,6,0,6.780886940011753e-05,0.9777134849238263,0.0,263
1.5406,1.54439,52,54,0.010231,6,0,6.780886940011753e-05,0.9777812937932264,0.0,264
1.5406,,4,70,0.017,6,6,6.780886940011753e-05,0.9778491026626266,0.002835538752362949,265
1.5418,,4,80,0.013,6,6,6.780886940011753e-05,0.9779169115320268,0.002835538752362949,266
,,15,75,0.020458,6,0,6.780886940011753e-05,0.9779847204014269,0.0,267
0.50021,,4,38,0.01,5,5,5.6507391166764615e-05,0.9780412277925937,0.0023629489603024575,268
0.7093,0.71359,5,60,0.017,5,0,5.6507391166764615e-05,0.9780977351837605,0.0,269
0.774912,,1,42,0.02074,5,0,5.6507391166764615e-05,0.9781542425749273,0.0,270
1.20793,1.20839,2,9,0.015004,5,0,5.6507391166764615e-05,0.9782107499660941,0.0,271
1.20793,1.20839,2,50,0.015004,5,0,5.6507391166764615e-05,0.9782672573572609,0.0,272
1.20793,1.20839,10,81,0.015004,5,0,5.6507391166764615e-05,0.9783237647484277,0.0,273
1.20793,1.20839,10,90,0.015346,5,0,5.6507391166764615e-05,0.9783802721395946,0.0,274
1.20793,1.20839,10,100,0.015004,5,0,5.6507391166764615e-05,0.9784367795307614,0.0,275
1.20793,1.20839,15,41,0.015004,5,0,5.6507391166764615e-05,0.9784932869219282,0.0,276
1.20793,1.20839,15,57,0.015004,5,0,5.6507391166764615e-05,0.978549794313095,0.0,277
1.20793,1.20839,20,55,0.015004,5,0,5.6507391166764615e-05,0.9786063017042618,0.0,278
1.20793,1.20839,22,25,0.015004,5,0,5.6507391166764615e-05,0.9786628090954286,0.0,279
1.20793,1.20839,22,35,0.015004,5,0,5.6507391166764615e-05,0.9787193164865954,0.0,280
1.20793,1.20839,25,55,0.015004,5,0,5.6507391166764615e-05,0.9787758238777622,0.0,281
1.20793,1.20839,32,36,0.015004,5,0,5.6507391166764615e-05,0.978832331268929,0.0,282
