fold,eval_set,scope,metric,single_phase_ft,all_real_ft,difference_single_minus_all
1,single_phase,opxrd,mae_c,5.128600358045222,5.303838635050531,-0.1752382770053087
1,single_phase,opxrd,mape_c_med,28.116433890792127,30.077419389784286,-1.9609854989921587
1,single_phase,opxrd,mae_ang,5.2032797380615845,5.22732359020376,-0.024043852142175304
1,single_phase,opxrd,mae_vol,5193.796904500326,5218.134388623919,-24.33748412359364
1,single_phase,opxrd,mape_vol_med,56.25531578063965,56.44887351989746,-0.1935577392578125
1,multiphase_diagnostic,combined,sys_acc,0.9622641509433962,0.9811320754716981,-0.018867924528301883
1,multiphase_diagnostic,combined,sg_acc,0.2191780821917808,0.3835616438356164,-0.1643835616438356
1,multiphase_diagnostic,combined,sg_top5,0.6027397260273972,0.726027397260274,-0.12328767123287676
1,multiphase_diagnostic,combined,el_f1_micro,0.0,0.25914315569487983,-0.25914315569487983
1,multiphase_diagnostic,combined,el_exact,0.0,0.2742857142857143,-0.2742857142857143
1,multiphase_diagnostic,combined,mae_a,1.2063572752331082,0.0888595586461957,1.1174977165869124
1,multiphase_diagnostic,combined,mae_a_med,0.9708548200401701,0.06309482299878955,0.9077599970413806
1,multiphase_diagnostic,combined,mape_a_med,27.136282997146985,1.7617854388101422,25.37449755833684
1,multiphase_diagnostic,combined,mae_b,1.949161273896181,0.4015604305556043,1.5476008433405766
1,multiphase_diagnostic,combined,mape_b_med,39.9008661409036,3.405695298484529,36.49517084241907
1,multiphase_diagnostic,combined,mae_c,2.8648809928010683,0.18985426377007894,2.6750267290309893
1,multiphase_diagnostic,combined,mape_c_med,67.80320772742972,3.3116939478589096,64.49151377957081
1,multiphase_diagnostic,combined,mae_ang,10.69356286852522,0.8337755085996985,9.859787359925521
1,multiphase_diagnostic,combined,mae_vol,122.02811726983988,15.667052286975789,106.3610649828641
1,multiphase_diagnostic,combined,mape_vol_med,151.2920379638672,9.693278312683105,141.59875965118408
1,multiphase_diagnostic,opxrd,sys_acc,0.9622641509433962,0.9811320754716981,-0.018867924528301883
1,multiphase_diagnostic,opxrd,sg_acc,0.2191780821917808,0.3835616438356164,-0.1643835616438356
1,multiphase_diagnostic,opxrd,sg_top5,0.6027397260273972,0.726027397260274,-0.12328767123287676
1,multiphase_diagnostic,opxrd,el_f1_micro,0.0,0.25914315569487983,-0.25914315569487983
1,multiphase_diagnostic,opxrd,el_exact,0.0,0.2742857142857143,-0.2742857142857143
1,multiphase_diagnostic,opxrd,mae_a,1.2063572752331082,0.0888595586461957,1.1174977165869124
1,multiphase_diagnostic,opxrd,mae_a_med,0.9708548200401701,0.06309482299878955,0.9077599970413806
1,multiphase_diagnostic,opxrd,mape_a_med,27.136282997146985,1.7617854388101422,25.37449755833684
1,multiphase_diagnostic,opxrd,mae_b,1.949161273896181,0.4015604305556043,1.5476008433405766
1,multiphase_diagnostic,opxrd,mape_b_med,39.9008661409036,3.405695298484529,36.49517084241907
1,multiphase_diagnostic,opxrd,mae_c,2.8648809928010683,0.18985426377007894,2.6750267290309893
1,multiphase_diagnostic,opxrd,mape_c_med,67.80320772742972,3.3116939478589096,64.49151377957081
