fold,arm,eval_set,candidate,reference_epochs,optimizer_steps,el_threshold,scope,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
5,all_real_control,single_phase,balanced,16,704,0.3,combined,497,208,0.39903846153846156,0.6490384615384616,491,0.570264765784114,490,2.946059073279072,2.9487281281308935,4.17516779202524,5.258681112666643,777.6069688913774,2.036120501858586,27.389607310310396,24.54761503033967,27.17124943319429,42.10270309448242,270,0.5209380234505863,0.022222222222222223
5,all_real_control,single_phase,balanced,16,704,0.3,rruff,271,208,0.39903846153846156,0.6490384615384616,265,0.5245283018867924,264,2.9227503795639023,2.5619247409867434,4.179416919323528,5.627898821822698,631.8417622970812,2.008951200480674,26.714796572597173,20.94116548613367,29.240670407805926,43.34633445739746,270,0.5209380234505863,0.022222222222222223
5,all_real_control,single_phase,balanced,16,704,0.3,opxrd,226,0,,,226,0.6238938053097345,226,2.973286927884403,3.400569252936449,4.170204209694496,4.827382549758687,947.8813695148029,2.0702792850285614,27.64435913736768,27.309821293883857,26.69390529477889,40.12569046020508,0,,
5,all_real_control,multiphase_diagnostic,balanced,16,704,0.3,combined,197,74,0.8108108108108109,1.0,47,1.0,47,0.06706563473520841,0.07791526619656024,0.1473515599509505,0.8353696183734597,2.97386737579995,0.05744898119464992,1.5987359980422275,1.5165246966601549,3.5644901897281773,4.7063679695129395,152,0.7570900123304561,0.39473684210526316
5,all_real_control,multiphase_diagnostic,balanced,16,704,0.3,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
5,all_real_control,multiphase_diagnostic,balanced,16,704,0.3,opxrd,197,74,0.8108108108108109,1.0,47,1.0,47,0.06706563473520841,0.07791526619656024,0.1473515599509505,0.8353696183734597,2.97386737579995,0.05744898119464992,1.5987359980422275,1.5165246966601549,3.5644901897281773,4.7063679695129395,152,0.7570900123304561,0.39473684210526316
5,single_phase_only,single_phase,stronger,10,440,0.4,combined,497,208,0.4182692307692308,0.6538461538461539,491,0.5804480651731161,490,2.837559429371691,2.8312709803739438,4.055077057354755,5.235358322815625,741.5789484062973,1.9112612488754834,25.737622209451338,24.099342119747124,25.518542656146266,40.62215614318848,270,0.5362453531598513,0.018518518518518517
5,single_phase_only,single_phase,stronger,10,440,0.4,rruff,271,208,0.4182692307692308,0.6538461538461539,265,0.539622641509434,264,2.8767790042854013,2.507394424866421,4.071285112227555,5.6522047718485044,627.883067665678,1.9982826976045684,26.353626877205564,22.029943213184886,26.39352148730702,42.25746726989746,270,0.5362453531598513,0.018518518518518517
5,single_phase_only,single_phase,stronger,10,440,0.4,opxrd,226,0,,,226,0.6283185840707964,226,2.7917454126583308,3.2096046558340583,4.036143754317503,4.748422647839162,874.3918356431269,1.7364684961877193,24.856776144576784,25.439947186155273,24.53723540063206,38.81550598144531,0,,
5,single_phase_only,multiphase_diagnostic,stronger,10,440,0.4,combined,197,74,0.17567567567567569,0.25675675675675674,47,0.9361702127659575,47,0.9239039460474704,1.0655687543067982,2.739333029909146,9.107535874019103,70.12556514334172,0.853773122054966,23.78330644525049,28.762897497503392,76.90792138454059,136.41917419433594,152,0.00894187779433681,0.0
5,single_phase_only,multiphase_diagnostic,stronger,10,440,0.4,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
5,single_phase_only,multiphase_diagnostic,stronger,10,440,0.4,opxrd,197,74,0.17567567567567569,0.25675675675675674,47,0.9361702127659575,47,0.9239039460474704,1.0655687543067982,2.739333029909146,9.107535874019103,70.12556514334172,0.853773122054966,23.78330644525049,28.762897497503392,76.90792138454059,136.41917419433594,152,0.00894187779433681,0.0
